"Time","Machine","User","Access","SourceAddr"
"2/25/2024 3:20:19 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/25/2024 3:01:48 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/25/2024 1:23:48 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/24/2024 11:33:47 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/24/2024 9:46:47 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/24/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/24/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/24/2024 8:32:12 PM","EMICA","adminemica","Negotiate","192.168.113.2"
"2/24/2024 8:32:12 PM","Window Manager","DWM-4","Negotiate","-"
"2/24/2024 8:32:12 PM","Window Manager","DWM-4","Negotiate","-"
"2/24/2024 8:32:11 PM","EMICA","adminemica","NTLM","-"
"2/24/2024 8:32:10 PM","EMICA","adminemica","NTLM","-"
"2/24/2024 8:07:38 PM","EMICA","adminemica","Negotiate","192.168.113.2"
"2/24/2024 8:07:38 PM","Window Manager","DWM-4","Negotiate","-"
"2/24/2024 8:07:38 PM","Window Manager","DWM-4","Negotiate","-"
"2/24/2024 8:07:36 PM","EMICA","adminemica","NTLM","-"
"2/24/2024 8:07:36 PM","EMICA","adminemica","NTLM","-"
"2/24/2024 7:56:47 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/24/2024 7:20:18 PM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/24/2024 6:07:46 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/24/2024 4:35:46 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/24/2024 2:50:44 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/24/2024 12:52:44 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/24/2024 12:00:45 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/24/2024 11:20:17 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/24/2024 10:56:44 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/24/2024 9:16:43 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/24/2024 7:38:43 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/24/2024 5:47:42 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/24/2024 5:41:57 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/24/2024 3:57:42 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/24/2024 3:20:16 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/24/2024 2:08:42 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/24/2024 12:35:41 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/23/2024 10:49:41 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/23/2024 9:19:38 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/23/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/23/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/23/2024 7:41:37 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/23/2024 7:20:15 PM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/23/2024 6:05:37 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/23/2024 4:14:37 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/23/2024 3:36:31 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/23/2024 2:32:36 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/23/2024 12:37:36 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/23/2024 11:20:14 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/23/2024 10:53:35 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/23/2024 8:56:35 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/23/2024 7:15:35 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/23/2024 5:35:34 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/23/2024 4:05:33 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/23/2024 3:42:17 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/23/2024 3:20:13 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/23/2024 2:15:25 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/23/2024 12:20:24 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/22/2024 10:30:24 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/22/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/22/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/22/2024 8:42:24 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/22/2024 7:20:12 PM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/22/2024 7:17:04 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/22/2024 7:10:24 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/22/2024 5:12:23 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/22/2024 3:30:23 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/22/2024 3:12:06 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/22/2024 3:10:33 PM","EMICA","adminemica","Negotiate","192.168.113.2"
"2/22/2024 3:10:32 PM","Window Manager","DWM-4","Negotiate","-"
"2/22/2024 3:10:32 PM","Window Manager","DWM-4","Negotiate","-"
"2/22/2024 3:10:30 PM","EMICA","adminemica","NTLM","-"
"2/22/2024 3:10:28 PM","EMICA","adminemica","NTLM","-"
"2/22/2024 1:42:23 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/22/2024 11:56:21 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/22/2024 11:20:11 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/22/2024 10:16:21 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/22/2024 8:37:20 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/22/2024 7:06:20 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/22/2024 5:43:13 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/22/2024 5:36:19 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/22/2024 3:37:20 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/22/2024 3:20:10 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/22/2024 1:38:19 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/21/2024 11:56:19 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/21/2024 11:15:06 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/21/2024 10:15:18 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/21/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/21/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/21/2024 8:37:18 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/21/2024 7:20:09 PM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/21/2024 6:46:17 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/21/2024 4:49:16 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/21/2024 2:53:16 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/21/2024 2:31:00 PM","EMICA","r.montenegro","Kerberos","10.0.0.220"
"2/21/2024 2:31:00 PM","EMICA","r.montenegro","Kerberos","10.0.0.220"
"2/21/2024 2:31:00 PM","EMICA","r.montenegro","Kerberos","10.0.0.220"
"2/21/2024 2:31:00 PM","EMICA","r.montenegro","Kerberos","10.0.0.220"
"2/21/2024 1:15:15 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/21/2024 11:52:55 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/21/2024 11:39:52 AM","EMICA","adminemica","Negotiate","192.168.113.2"
"2/21/2024 11:39:52 AM","Window Manager","DWM-3","Negotiate","-"
"2/21/2024 11:39:52 AM","Window Manager","DWM-3","Negotiate","-"
"2/21/2024 11:39:50 AM","EMICA","adminemica","NTLM","-"
"2/21/2024 11:39:50 AM","EMICA","adminemica","NTLM","-"
"2/21/2024 11:24:15 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/21/2024 11:20:08 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/21/2024 9:29:15 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/21/2024 7:51:14 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/21/2024 6:00:14 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/21/2024 4:10:14 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/21/2024 3:54:47 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/21/2024 3:20:07 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/21/2024 2:37:13 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/21/2024 12:54:12 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/20/2024 11:08:12 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/20/2024 9:24:11 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/20/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/20/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/20/2024 7:29:11 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/20/2024 7:20:06 PM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/20/2024 5:37:10 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/20/2024 3:49:10 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/20/2024 2:02:10 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/20/2024 12:16:09 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/20/2024 11:20:05 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/20/2024 10:46:09 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/20/2024 9:59:24 AM","EMICA","adminemica","Negotiate","192.168.113.2"
"2/20/2024 9:59:23 AM","Window Manager","DWM-3","Negotiate","-"
"2/20/2024 9:59:23 AM","Window Manager","DWM-3","Negotiate","-"
"2/20/2024 9:59:22 AM","EMICA","adminemica","NTLM","-"
"2/20/2024 9:59:22 AM","EMICA","adminemica","NTLM","-"
"2/20/2024 9:23:11 AM","EMICA","adminemica","NTLM","-"
"2/20/2024 8:57:46 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/20/2024 8:56:28 AM","EMICA","adminemica","Negotiate","192.168.113.2"
"2/20/2024 8:56:27 AM","Window Manager","DWM-3","Negotiate","-"
"2/20/2024 8:56:27 AM","Window Manager","DWM-3","Negotiate","-"
"2/20/2024 8:56:25 AM","EMICA","adminemica","NTLM","-"
"2/20/2024 8:56:20 AM","EMICA","adminemica","NTLM","-"
"2/20/2024 8:47:07 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/20/2024 7:31:00 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/20/2024 7:12:07 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/20/2024 5:41:07 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/20/2024 3:56:06 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/20/2024 3:20:04 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/20/2024 2:29:27 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/20/2024 2:29:27 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/20/2024 2:29:21 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/20/2024 2:11:06 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/20/2024 12:26:05 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/19/2024 10:55:05 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/19/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/19/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/19/2024 8:57:05 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/19/2024 7:20:03 PM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/19/2024 7:16:05 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/19/2024 5:35:04 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/19/2024 4:05:03 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/19/2024 2:12:02 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/19/2024 1:33:35 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/19/2024 12:19:03 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/19/2024 11:20:02 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/19/2024 10:31:02 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/19/2024 8:57:02 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/19/2024 7:23:01 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/19/2024 5:53:44 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/19/2024 5:53:44 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/19/2024 5:53:42 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/19/2024 5:33:01 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/19/2024 3:45:01 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/19/2024 3:20:01 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/19/2024 2:12:00 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/19/2024 12:17:00 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
